Country,indicator,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Heavily indebted poor countries (HIPC),"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,,,,,,,,,,,,,,,,,,,,,43.66083908,44.29241943,44.71483994,45.26292038,45.81388092,46.18357086,46.44829941,46.84109116,47.25111008,47.54312897,47.99385071,48.63420105,49.10419846,49.91614914,50.91173172,51.7259903,52.45423126,52.98884964,53.53224182,53.78087997,52.12448883,53.51720047,53.82273102,54.03781128,55.06021118,57.28686905,58.67424011,59.74034119,60.26697922,60.85208893,61.46162033,62.57925034,64.53729248,64.71131134,64.9592514,65.42218018,65.86654663,66.29688263,66.63363647
Croatia,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.69999695,,,,,,,,,,98.15000153,,,,,,,,,,,,,,,,,,,,,,,
Haiti,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,,,,,,,,,,,,,,,,,34.72999954,,,,,,,,,,,,,,,,,,,,,58.74000168,,,,,,,,,74.02732069,,,,,68.01000214,,,,,,,
Hungary,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,,,,,,,,,,,,,,,98.86000061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IBRD only,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,,,,,,,,,,61.28322983,61.47563171,61.8540802,62.69007111,63.56678009,64.38513184,65.18002319,65.94802094,66.68917847,67.56858063,68.33049774,69.04582214,69.8873291,72.01573181,72.64830017,73.33145142,73.98190308,74.6343689,75.24601746,75.86527252,76.5123291,77.12290192,80.08950043,81.78067017,82.26230621,82.78653717,83.10608673,83.51212311,84.0967865,84.49652863,84.5345993,84.818573,85.70091248,86.16577148,86.61975098,87.15949249,87.44757843,87.8042984,88.04839325,88.41017151,88.69116974,88.86773682,89.05950928,89.28639984,89.34284973,89.63845825,89.85890961,90.17098236,90.43588257,90.69486237
IDA & IBRD total,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,,,,,,,,,,58.46598053,58.64012146,58.99760056,59.74116135,60.52120972,61.25011826,61.95964813,62.6516304,63.32284927,64.11949921,64.8184433,65.47592163,66.26860809,68.18766022,68.80432892,69.47245789,70.03865051,70.65973663,71.25356293,71.82620239,72.40148163,72.95462799,75.46513367,77.01695251,77.49051666,77.77931976,78.14837646,78.57504272,79.16236115,79.56745148,79.57776642,79.52372742,80.21643829,80.64174652,81.03842926,81.76249695,82.16507721,82.40514374,82.77619171,83.16098785,83.63657379,84.02745819,84.2530365,84.6161499,84.65225983,84.88696289,85.09938049,85.37857056,85.60888672,85.82096863
IDA total,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,,,,,,,,,,,,,,,44.88351822,45.14746857,45.44253922,45.74866867,46.11328888,46.48352051,46.83900833,47.37680054,48.20294189,48.73662949,49.32630157,49.77582169,50.58911896,51.4650116,52.1868515,52.85918045,53.49436188,54.21192932,55.47975159,56.30218887,55.9213295,56.66044998,57.3848381,58.18455887,58.81607056,58.91352081,57.66038895,57.85441971,58.42972183,58.8841095,60.62506104,61.68759918,61.75765991,62.88037109,63.5105896,64.92337036,66.31556702,66.90975189,67.99919128,68.21135712,68.48497772,68.93624115,69.35542297,69.72704315,70.0536499
IDA blend,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,,,,,,,,,,,,,,,47.01818085,47.30302811,47.60639954,47.9001503,48.24126816,48.57788849,48.9322319,49.61360931,50.30410004,50.87599182,51.58694839,52.1673317,53.81758881,55.50138092,56.20167923,56.52333069,57.3153801,58.08850861,58.83097839,59.6169281,57.39178085,58.1937294,58.9518013,60.08338928,60.7952919,60.34812164,61.03979111,59.5759201,60.52696991,60.75920105,61.22974014,61.42074966,62.61869049,62.50836182,63.40105057,64.12650299,64.85183716,65.05888367,67.43364716,67.51589966,67.87181091,68.20619202,68.53591919,68.86318207,69.19120789
Indonesia,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,,,,,,,,,,,,,,,67.30999756,,,,,,,,,,81.51999664,,,,,,,,,,,,,,90.37999725,,91.98000336,,92.19000244,92.58000183,92.31999969,92.80999756,,,95.12000275,95.22000122,95.37999725,,95.66000366,,96,,,,
IDA only,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,,,,,,,,,,,,,,,,43.69729996,43.98239899,44.28899002,44.68215179,45.08710098,45.46194077,45.94195938,46.84928131,47.37886047,47.91999817,48.30892181,48.69519043,49.17055893,49.91707993,50.59679031,51.14810944,51.82390976,53.34238052,54.17686844,55.04824829,55.75162125,56.45650864,57.08248138,57.67206955,58.06575012,55.83211899,56.90753174,57.2826004,57.49354172,59.8737793,61.3823204,60.85393143,62.61679077,63.12210846,64.88317108,66.61038971,67.40692902,68.82772827,69.09024811,69.30441284,69.79548645,70.2420578,70.61737823,70.92362976
Isle of Man,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,,,,,,,,,,,,,,,,40.75999832,,,,,,,,,,48.22000122,,,,,,,,,,61.00999832,,,,,62.75,,,,68.33547187,69.30000305,69.83505872,,,,,,73.69754303,74.90842683,75.5437727,76.07157662,76.31999969,81.69999695,
Not classified,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ireland,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Iran, Islamic Rep.","Literacy rate, adult total (% of people ages 15 and above)",,,,,,,,,,,,,,,,,36.52000046,,,,,,,,,,52.31999969,,,,,65.52999878,,,,,73.05999756,,,,,,77,,,82.44000244,82.33000183,,82.95999908,83.22148229,83.66434919,83.51999664,83.62999725,84.62999725,84.70999908,85.28324947,85.54000092,85.94672596,86.86874687,87.37870319,87.90278742,88.45548802,88.59399949,88.92333398,
Iraq,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.05000305,,,,,,,,,,,,77.19999695,,82.19999695,,83.30000305,85.59999847,,,,84.05886358,,,
Iceland,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Israel,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,,,,,,,,,,,,,,,,,,91.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,,,,,,,,,,,,,,,,96.45999908,,,,,,,,,,,,,,,,,,,,98.41999817,,,,,,,,,,98.84999847,,,,,,,,99.34999847,,,,,
Jamaica,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.91999817,,,,,,,,,,,,,,,,,,,,,,,,,
Jordan,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,,,,,,,,,,,,,,66.80000305,,,,,,,,,,,,,,,,,,,,,,,,89.88999939,,91.12999725,,92.19999695,,,92.55000305,95.90000153,97.88999939,,,,,,95.43000031,,,,,94.84999847,
Japan,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kazakhstan,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.52999878,,,,,,,,,,99.51000214,,,,,,,,,,99.73000336,,,,,,,,,,,,,,,
Kenya,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.23000336,,,,,,,,,,,,,,,,,,,,,,,,
Kyrgyz Republic,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.69999695,,,,,,,,,,99.23999786,,,,,,,,,,,,,,,
Cambodia,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.33999634,,,,,,73.61000061,,,,76.87000275,76.13999939,,,,79.65000153,78.05999756,80.52999878,,,,87.66000366,82.5991676,71.93000031,,,
Kiribati,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.95999908,,98.63229661,,,,
St. Kitts and Nevis,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Korea, Rep.","Literacy rate, adult total (% of people ages 15 and above)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.97000122,,,,,,,,,,,,,,,,
Kuwait,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,,,,,,,,,,59.56000137,,,,,67.51999664,,,,,74.48999786,,,,,,,,,,78.40000153,,,,,,,,,,93.26999664,93.27999878,93.66000366,93.90000153,,94.47000122,,95.51000214,95.58999634,,95.69000244,,96.04000092,96.05999756,,96.45999908,,,,
Latin America & Caribbean (excluding high income),"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,,,,,,,,,77.2909317,77.30966949,77.74143982,78.19399261,78.66285706,79.08003998,79.44760895,79.869133,80.26445007,80.64990997,81.02393341,81.38791656,81.74240875,82.04862976,82.46675873,82.8740921,83.20378113,83.91625214,84.62995148,85.33112335,86.01869202,86.6966095,87.1025238,87.38796997,87.74733734,88.09494781,88.40643311,88.59747314,88.89263153,89.65525055,89.9473114,89.90686035,90.06333923,90.88918304,91.20858765,91.41120911,91.35964966,92.18966675,92.51677704,92.50582886,92.97559357,93.10861206,93.56481934,93.60745239,93.80787659,93.99285889,94.05137634,94.24067688,94.43493652,94.58347321,94.71411896
Lao PDR,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.25,,,,,69.58000183,68.73000336,,,,72.69999695,,,,,,,,,,84.66000366,,73.72000122,,,,,,75.63999939,
Lebanon,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.61000061,,91.18000031,,,,,,,,,92.66999817,92.01448001,,,,,
Liberia,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,,,,,,,,,,,,,,,,,,,32.11000061,,,,,,,,,,,,,,,,,,,,,,,,,,59.40357655,,,,,,,,,,,,,,
Libya,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,,,,,,,,,,,,,,,,,,,60.15999985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St. Lucia,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latin America & Caribbean,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,,,,,,,,,78.12989807,78.14833832,78.54842377,78.98705292,79.44908142,79.86238861,80.22841644,80.64211273,81.02954102,81.40904999,81.77697754,82.13491821,82.48327637,82.77591705,83.23117065,83.65332794,83.97316742,84.64589691,85.31826019,85.97786713,86.6240387,87.26022339,87.64859772,87.93063354,88.29342651,88.62124634,88.92156219,89.11239624,89.39666748,90.09610748,90.37744904,90.35967255,90.57125092,91.40738678,91.71063232,91.89761353,91.81594086,92.52429962,92.8322525,92.81323242,93.30796814,93.45050049,93.89108276,93.91812897,94.10302734,94.27082825,94.32582092,94.50193787,94.68409729,94.82549286,94.95111084
Least developed countries: UN classification,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,,,,,,,,,,,,,,,,40.44667053,40.73403168,41.04124832,41.42493057,41.81882858,42.17744064,42.65473175,43.61516953,44.14986038,44.70014954,45.11164856,45.48490906,45.96364975,46.75989914,47.70959854,48.25215149,48.93344116,50.58547974,51.46541977,52.08351135,52.80838013,53.54515076,54.20647812,54.83687973,55.23506927,52.68745041,53.65513992,53.98141861,54.60694122,57.08432007,58.77299118,58.18199158,60.20775986,60.80072021,62.73128891,64.60360718,65.49446869,65.95467377,66.22218323,66.4538269,67.02951813,67.55068207,67.97371674,68.32312012
Low income,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.48490143,46.91278839,47.4160881,47.6960907,47.81761932,48.08485031,48.33974838,48.82239914,49.15703964,49.77299881,50.444561,51.00802994,51.43112946,52.07423019,52.71802902,53.14144135,53.60847855,54.01974106,52.17496109,53.39131927,54.24755096,54.77159882,55.26887894,57.49095154,57.97935867,58.90143967,59.03393936,59.70286942,60.36481857,61.41650009,61.72092056,61.74449921,61.88235855,62.33375168,62.77030945,63.20888138,63.56930161
Liechtenstein,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sri Lanka,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,,,,,,,,,,,,,,,,86.77999878,,,,,,,,,,,,,,,,,,,,90.68000031,,,,,90.80999756,,90.55999756,,91.18000031,,,,92.54639478,92.56613214,92.38999939,91.90000153,91.70999908,92.25,92.37999725,92.43000031,92.48999786,92.66000366,
Lower middle income,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,,,,,,,,,,43.73141098,43.82624054,44.39273071,44.97420883,45.54290009,46.10211945,46.6471405,47.22809982,47.73199081,48.34305954,48.95240021,49.48736954,50.33805084,51.00125885,51.70487976,52.41896057,53.17908096,54.09815979,55.00283813,55.8652916,56.68870163,57.52173996,58.3533287,61.84518051,62.63806152,62.87221146,63.61077118,64.3497467,65.40087891,66.10842896,65.90290833,65.8551178,66.37418365,67.02906036,67.71453094,69.59059906,70.29173279,70.72177887,71.59829712,72.22669983,73.31275177,74.07228088,74.6064682,75.44101715,75.40895844,76.03858948,76.64582062,77.26148224,77.77929688,78.27902985
Low & middle income,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,,,,,,,,,,57.82717896,58.00345993,58.36426163,59.11759949,59.90830994,60.64720154,61.36648941,62.0685997,62.7493782,63.55815125,64.26741791,64.93450928,65.74099731,67.68656158,68.30776978,68.98529816,69.56668091,70.20287323,70.81089783,71.39691925,71.98568726,72.55122375,75.10862732,76.68768311,77.17489624,77.47052765,77.84716797,78.28527832,78.88491058,79.29815674,79.31014252,79.25076294,79.94795227,80.38214874,80.78318024,81.52628326,81.94248962,82.18762207,82.56783295,82.95294189,83.43531799,83.83110046,84.06365204,84.43427277,84.47470856,84.71539307,84.93486786,85.21977997,85.4538269,85.66941833
Lesotho,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.25,,,,,,66.09999847,,,,,,,,,,97.26999664,,86.23999786,92.4974362,,,,,90.44999695
Late-demographic dividend,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,,,,,,,,,,,69.59372711,69.71856689,70.67047119,71.74240112,72.68952179,73.59783173,74.45310211,75.25707245,76.11686707,76.94415283,77.68872833,78.43697357,81.8151474,82.3764801,82.88896942,83.40164948,83.87809753,84.33500671,84.78325653,85.23478699,85.64794922,90.30294037,90.64514923,90.92852783,91.19696045,91.5107193,91.80938721,92.20445251,92.47164154,92.74765015,93.03517151,94.03952026,94.25827026,94.52729034,94.66471863,95.05036926,95.24017334,95.32038879,95.40606689,95.56787109,95.79045105,95.95368958,96.10099792,96.23075104,96.35845947,96.48459625,96.61174774,96.73008728,96.85266113
Lithuania,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.44000244,,,,,,,,,,,,99.65000153,,,,,,,,,,99.81999969,,,,,,,,,,,,,
Luxembourg,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latvia,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.44999695,,,,,,,,,,,99.75,,,,,,,,,,,99.90000153,,,,,,,,,,,,,
"Macao SAR, China","Literacy rate, adult total (% of people ages 15 and above)",,,,,,,,,,,,,,,,,,,,,,90.37999725,,,,,,,,,,,,,,,,,,,,91.30000305,,,,,93.5,,,,,95.63999939,,,,,96.54000092,,,,,,,,
St. Martin (French part),"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morocco,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,,,,,,,,,,,,,,,,,30.26000023,,,,,,,,,,,,41.59000015,,,,,,,,,,52.31000137,,,,55.15000153,56.08000183,,67.08000183,69.16000366,,64.26000214,,,,,,,,,,
Monaco,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moldova,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.37999725,,,,,,,,,,,96.65000153,,,,,,,,,,,,,,99.36000061,,,,,,,,,,
Madagascar,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.69000244,,,,,,,,,,,,71.56999969,,,,,,76.68000031,,,74.69000244,,,
Maldives,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,,,,,,,,,,,,82.30000305,,,,,,,,92.23000336,,,,,96.01999664,,,,,96.33000183,,,,,96.33000183,,,,,,98.40000153,,,,,,,,98.61000061,,97.73000336,94.51000214,,98.20999908,,,,,
"Middle East, North Africa, Afghanistan & Pakistan","Literacy rate, adult total (% of people ages 15 and above)",,,,,,,,,,,,,,38.58969116,38.89006042,39.24068832,39.60292816,40.15167999,40.75769043,41.3752594,42.0071106,42.61727905,43.42863083,44.04724121,44.83197021,45.60076904,46.38452911,47.16519928,48.06124878,48.94585037,50.71356964,51.51221085,53.06661987,54.43156815,55.11798859,56.21815109,57.12797165,58.03104019,59.00312042,59.93693924,60.82902908,61.88441849,62.85728836,65.1333313,65.97110748,66.69262695,66.26946259,67.05426788,68.58789063,69.5725174,70.04216766,70.20955658,71.26318359,71.54608154,71.92707825,72.74830627,72.35362244,72.71936035,72.66477203,72.90309906,73.4514389,73.92479706,74.5160675,75.06803894,75.58869171
Mexico,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,,,,,,,,,,,,,,,82.98999786,,,,,,,,,,87.55999756,,,,,,,,,,90.54000092,,90.26999664,,90.94999695,91.62999725,91.73000336,92.80000305,92.93000031,93.44000244,93.06999969,93.51999664,94.23000336,93.95999908,94.55999756,94.47000122,94.86000061,94.97000122,95.37999725,95.38894032,95.25,95.68909813,95.8486604,95.83469017,95.76547168
Marshall Islands,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.26999664,,,,,,,,98.18000031,,95.83425496,,,
Middle income,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,,,,,,,,,,58.68740845,58.86426163,59.2326088,60.01572037,60.83835983,61.6055603,62.35068893,63.0773201,63.77952957,64.61766052,65.34950256,66.0406189,66.86628723,68.90395355,69.53626251,70.22380066,70.83551025,71.52095795,72.17482758,72.80290985,73.4360199,74.03662872,76.73143768,78.38613129,78.89489746,79.20767975,79.57293701,80.01439667,80.64788818,81.07843781,81.0834198,81.17368317,81.86553955,82.30013275,82.72193909,83.51486969,83.81887817,84.07702637,84.45263672,84.86701965,85.35970306,85.76139832,85.96204376,86.37348938,86.45652771,86.746521,86.9866333,87.29567719,87.5513916,87.79734039
North Macedonia,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.05999756,,,,,,,,96.12999725,,,,,,,,,,,,,,,,,,,,,,
Mali,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,,,,,,,,,,,9.430000305,,,,,,,,,,,,,,,,,,,,,,19.04000092,,,,,24,,,26.18000031,,,,31.10000038,30.62000084,,,,33.06999969,,,35.47000122,,,,,,
Malta,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,,,,,,,,,,,,,,,,,,,,86.93000031,,,,,,,,,,87.87000275,,,,,,,,,,92.36000061,,,,,,93.30999756,,,,,,,,,,,,,
Myanmar,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,,,,,,,,,,,,,,,,,,78.56999969,,,,,,,,,,,,,,,,,89.94000244,,,,,,,,,,,,,,90.36000061,,84.77999878,,95.82323938,89.06999969,93.54712933,,,,
"Middle East, North Africa, Afghanistan & Pakistan (excluding high income)","Literacy rate, adult total (% of people ages 15 and above)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Montenegro,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,,,,,,,,,,,,,,,,89.63999939,,,,,,,,,,93.45999908,,,,,,,,,,,,97.76999664,,,,,,,,98.44000244,,,,,,,98.52999878,,,,,,
Mongolia,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.76999664,,,,,,,,,,98.26000214,,,,,,,,96.90000153,98.45999908,99.18000031,99.27275887,98.73000336,98.63999939,
Northern Mariana Islands,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mozambique,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,,,,,,,,,,,,,,,27,,,,,,,,,,,,,,,,,38.70999908,,,,,,48.15999985,,,,,,50.58000183,,,,,,56.04000092,,60.65999985,,,59.77999878,,61.67782052,,
Mauritania,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.20999908,,,,,,,,,,,,,62.06999969,,65.11000061,,,,,59.52999878,,,,
Mauritius,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.87000275,,,,,,,,,,84.30000305,,,,,,,,,,,89.25,91.76999664,91.48999786,92.47000122,92.70999908,93.16000366,,,,,93.03047191,,94.32652156,
Malawi,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,,,,,,,,,,,,,,,,,,,,,,48.54000092,,,,,,,,,,,64.12999725,,,,,,,,,,,,,,,,,,,72.84875242,76.72000122,,70.15000153,,,,
Malaysia,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,,,,,,,,,,,,,,,69.51999664,,,,,,,,,,,82.91999817,,,,,,,,,88.69000244,,,,,,,,,,93.12000275,,,,,,94.87999725,95.08000183,94.84999847,94.97000122,,,95.76999664,,
North America,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.62116241,98.63292694,98.64395142,98.65870667,98.66841125,98.68849945,,,,,,,,,98.75241089,98.75907898,98.76483917,98.77036285,98.78943634,98.78914642,,
Namibia,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.81999969,,,,,,,,,,84.94000244,,,,,,,,,,88.26999664,,,,,88.20185917,,88.32950503,,,,,87.63999939,
New Caledonia,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,,,,,,,,,,,91.30000305,,,,,,,,,,,,,93.08000183,,,,,,,96.13999939,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Niger,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.38000011,,,,28.67000008,,,,,,,30.55999947,,28.97002931,,,,33.04999924,,,,35.61000061,,
Nigeria,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.45000076,,,,,,,,,,,,54.77000046,,,70.19999695,,,,,,,,,,58.22000122,,,,,63.15999985,,,70.41000366
Nicaragua,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.68000031,,,,78,,,,,,,85.60943389,,87.34508823,,,,,,,,,,
Netherlands,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Norway,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nepal,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,,,,,,,,,,,,,,,,20.56999969,,,,,,,,,,32.97999954,,,,,,,,,,48.61000061,,,,,,,55.56258983,,,59.63000107,,,,,65.5,66.87553512,,68.70999908,,,,,
Nauru,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.60798601,,96.58999634,
